"SCAC","Trailer ID","Last Location","Last Position Time","Last Event","Last Event Time","Dormant State","Days Dormant","Ext Power","Latitude","Longitude","MSN","Sched Status Report Time","Status Report Interval","Queued Status Report Interval","Emergency Tracking","Reporting Interval","Temp Notification","Low Battery","Depleted Battery","GPS Antenna","Overdue Status","Stale Position","Loaded/Empty","Loaded Time","Cargo Status","Door Status","Aux Status","Trip Status","Monitoring Plan ID","Description","Overrides","Trailer Type","Manufacturer","Model Year","Length","Door Type","Suspension Type","Roof Type","Lift Gate Equipped","Mobile Unit Type","Tractor ID","Tractor SCAC","Connected/Disconnected","Connect Time","Active Geofence","Group Membership","Firmware","Reefer Last Communication Time","Reefer Type","Reefer Model","Enabled for Monitoring","Reefer Mode","Reefer Engine Mode","Reefer Engine State","Reefer Engine Speed","Reefer Operating Status","Reefer Set Point","Reefer Return Temp","Reefer Supply Temp","Reefer Engine Hours","Reefer Battery Voltage","Highest OEM Alarm State","Temp Out-of-Range Alarm","Low Fuel Alarm","Incorrect Set Point Alarm","Reefer OEM Alarm Severity Level","Reefer OEM Alarm Codes"
"BGME","DD06","1.51 miles NNW of Lytle, TX","09/08/08 14:19:02  EDT","Chg Trlr Monitoring","09/11/08 16:52:28  EDT","high","121","no","29.22944","-98.78694","0120091650","06 am","","never","off","","no","","","","medium","high","unknown","","unknown","unknown","unknown","unknown","HH","Heavy Haul","yes","GN","TLK","2002","40 ft","unknown","unknown","unknown","unknown","untethered","","","disconnected","","no","ungrouped","","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"BGME","DD07","1.68 miles ESE of Woodlawn, VA","09/22/08 14:28:15  EDT","Battery Needs Charge","09/22/08 14:31:49  EDT","high","107","no","36.72388","-80.75055","0120158389","06 am","","never","off","","no","medium","medium","","medium","high","unknown","","not installed","not installed","not installed","unknown","HH","Heavy Haul","yes","GN","TLK","2002","40 ft","unknown","unknown","unknown","unknown","untethered","","","disconnected","","no","ungrouped","","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"BGME","DD08","1.76 miles WSW of North Long Beach, CA","12/12/08 09:59:28  EST","UTT Status Report","12/15/08 00:53:29  EST","high","27","yes","33.85500","-118.21000","0120131560","06 am","","never","off","","no","","","","","high","unknown","","not installed","not installed","not installed","unknown","HH","Heavy Haul","yes","GN","TLK","2002","40 ft","unknown","unknown","unknown","unknown","untethered","","","connected","12/11/08 22:32:56  EST","no","ungrouped","","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"BGME","DD09","(unknown)","05/07/08 23:48:05  EDT","Chg Trlr Monitoring","09/11/08 16:52:30  EDT","high","245","no","27.68083","-99.45722","0120133521","06 am","","never","off","","no","","","","medium","high","unknown","","unknown","unknown","unknown","unknown","HH","Heavy Haul","yes","GN","TLK","2002","40 ft","unknown","unknown","unknown","unknown","untethered","","","disconnected","","no","ungrouped","","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"BGME","DER034",".98 miles SE of Sloatsburg, NY","01/07/09 21:05:31  EST","UTT Status Report","01/07/09 21:05:06  EST","high","35","no","41.14388","-74.18055","0120091642","06 am","","never","off","","no","","","","","","unknown","","not installed","not installed","not installed","unknown","HH","Heavy Haul","yes","DX","LID","2007","53 ft","unknown","unknown","unknown","unknown","untethered","","","disconnected","12/03/08 11:25:21  EST","no","ungrouped","","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"BGME","DER035","4.82 miles SSE of Seguin, TX","01/08/09 06:18:38  EST","UTT Status Report","01/08/09 06:18:08  EST","high","9","no","29.50916","-97.92277","0120172613","06 am","","never","off","","no","","","","","","unknown","","not installed","not installed","not installed","unknown","HH","Heavy Haul","yes","DX","LID","2007","53 ft","unknown","unknown","unknown","unknown","untethered","","","disconnected","12/19/08 15:46:06  EST","no","ungrouped","","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"BGME","DER036","At Bennett Yard in MCDONOUGH, GA","01/07/09 22:30:03  EST","UTT Status Report","01/07/09 22:29:32  EST","low","1","no","33.41944","-84.18416","0120131645","06 am","","never","off","","no","","","","","","unknown","","not installed","not installed","not installed","unknown","HH","Heavy Haul","yes","DX","LID","2007","53 ft","unknown","unknown","unknown","unknown","untethered","","","disconnected","12/02/08 02:06:16  EST","no","ungrouped","","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"BGME","DER037","At South Nyack, NY","11/02/08 05:40:44  EST","Omni Disconnect","12/12/08 21:37:56  EST","high","67","no","41.08138","-73.92194","0120133174","06 am","","never","off","","no","","","","medium","high","unknown","","not installed","not installed","not installed","unknown","HH","Heavy Haul","yes","DX","LID","2007","53 ft","unknown","unknown","unknown","unknown","untethered","","","disconnected","12/12/08 21:37:56  EST","no","ungrouped","","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"BGME","DER038","7.47 miles W of Deridder, LA","01/07/09 22:10:30  EST","UTT Status Report","01/07/09 22:09:56  EST","low","0","no","30.83833","-93.41916","0120131552","06 am","","never","off","","no","","","","","","unknown","","not installed","not installed","not installed","unknown","HH","Heavy Haul","yes","DX","LID","2007","48 ft","unknown","unknown","unknown","unknown","untethered","","","disconnected","","no","ungrouped","","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"BGME","DE01","2.46 miles NNW of Kilometro 13, TM","01/08/09 03:49:21  EST","UTT Status Report","01/08/09 03:48:44  EST","low","0","no","27.43083","-99.55527","0120119906","06 am","","never","off","","no","","","","","","unknown","","not installed","not installed","not installed","unknown","HH","Heavy Haul","yes","10A","XL","1999","48 ft","unknown","unknown","unknown","unknown","untethered","","","disconnected","","no","ungrouped","","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"BGME","DE010","At EPA in EDDYSTONE, PA","01/07/09 23:40:54  EST","UTT Status Report","01/07/09 23:39:29  EST","high","22","no","39.85722","-75.33666","0120152399","06 am","","never","off","","no","","","","","","unknown","","not installed","not installed","not installed","unknown","HH","Heavy Haul","yes","10A","XL","2002","48 ft","unknown","unknown","unknown","unknown","untethered","","","disconnected","","no","ungrouped","","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"BGME","DE011","(unknown)","11/03/07 10:17:00  EDT","Chg Trlr Monitoring","09/11/08 16:52:34  EDT","high","432","no","39.06944","-109.24055","0120133259","06 am","","never","off","","no","","","","medium","high","unknown","","unknown","unknown","unknown","unknown","HH","Heavy Haul","yes","10A","TRA","2006","53 ft","unknown","unknown","unknown","unknown","untethered","","","disconnected","","no","ungrouped","","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"BGME","DE012","At Bennett Yard in MCDONOUGH, GA","01/07/09 22:36:54  EST","UTT Status Report","01/07/09 22:36:13  EST","high","15","no","33.41916","-84.18333","0120130937","06 am","","never","off","","no","","","","","","unknown","","not installed","not installed","not installed","unknown","HH","Heavy Haul","yes","DX","XL","2003","50 ft","unknown","unknown","unknown","unknown","untethered","","","disconnected","","no","ungrouped","","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"BGME","DE013","At HCS Yard in Humble, TX","01/07/09 21:44:25  EST","UTT Status Report","01/07/09 21:43:25  EST","medium","6","no","29.94027","-95.26111","0120131488","06 am","","never","off","","no","","","","","","unknown","","not installed","not installed","not installed","unknown","HH","Heavy Haul","yes","10A","XL","2003","50 ft","unknown","unknown","unknown","unknown","untethered","","","disconnected","","no","ungrouped","","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"BGME","DE014","At TOK in Tulsa, OK","01/07/09 22:22:31  EST","UTT Status Report","01/07/09 22:22:00  EST","medium","5","no","36.17916","-95.78611","0120131468","06 am","","never","off","","no","","","","","","unknown","","not installed","not installed","not installed","unknown","HH","Heavy Haul","yes","10A","TRA","2006","53 ft","unknown","unknown","unknown","unknown","untethered","","","disconnected","11/07/08 20:13:40  EST","no","ungrouped","","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"BGME","DE015","(unknown)","","Chg Trlr Monitoring","09/11/08 16:52:36  EDT","high","118","no",".00000",".00000","0120152262","06 am","","never","off","","no","","","","","","unknown","","unknown","unknown","unknown","unknown","HH","Heavy Haul","yes","10A","XL","2003","50 ft","unknown","unknown","unknown","unknown","untethered","","","disconnected","","no","ungrouped","","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"BGME","DE016","At HCS Yard in Humble, TX","01/08/09 06:27:00  EST","UTT Status Report","01/08/09 06:26:17  EST","high","17","no","29.93944","-95.26000","0120172593","06 am","","never","off","","no","","","","","","unknown","","not installed","not installed","not installed","unknown","HH","Heavy Haul","yes","10A","XL","2003","50 ft","unknown","unknown","unknown","unknown","untethered","","","disconnected","","no","ungrouped","","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"BGME","DE017","1.94 miles SSE of Lawrenceburg, KY","01/08/09 01:46:37  EST","UTT Status Report","01/08/09 01:46:08  EST","high","19","no","38.01138","-84.88222","0120152417","06 am","","never","off","","no","","","","","","unknown","","not installed","not installed","not installed","unknown","HH","Heavy Haul","yes","10A","XL","2006","0 ft","unknown","unknown","unknown","unknown","untethered","","","disconnected","11/10/08 17:53:50  EST","no","ungrouped","","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"BGME","DE018","2.76 miles SSE of Point Comfort, TX","01/07/09 21:00:23  EST","UTT Status Report","01/08/09 06:47:17  EST","low","0","no","28.64027","-96.55083","0120156767","06 am","","never","off","","no","","","","","medium","unknown","","not installed","not installed","not installed","unknown","HH","Heavy Haul","yes","10A","XL","2006","50 ft","unknown","unknown","unknown","unknown","untethered","","","disconnected","","no","ungrouped","","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"BGME","DE019","4.30 miles NW of H&P Yard in Jacinto ...","12/28/08 22:00:55  EST","UTT Status Report","01/07/09 22:00:26  EST","high","14","no","29.78972","-95.25694","0120089210","06 am","","never","off","","no","","","","","high","unknown","","not installed","not installed","not installed","unknown","HH","Heavy Haul","yes","DE","XL","2000","48 ft","unknown","unknown","unknown","unknown","untethered","","","disconnected","","no","ungrouped","","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"BGME","DE02",".98 miles SE of Sloatsburg, NY","01/08/09 02:28:26  EST","UTT Status Report","01/08/09 02:27:44  EST","high","28","no","41.14388","-74.18055","0120152740","06 am","","never","off","","no","","","","","","unknown","","not installed","not installed","not installed","unknown","HH","Heavy Haul","yes","10A","XL","1999","48 ft","unknown","unknown","unknown","unknown","untethered","","","disconnected","","no","ungrouped","","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"BGME","DE020","At Bennett Yard in MCDONOUGH, GA","01/08/09 00:12:01  EST","UTT Status Report","01/08/09 00:11:22  EST","low","1","no","33.41944","-84.18416","0120131654","06 am","","never","off","","no","","","","","","unknown","","not installed","not installed","not installed","unknown","HH","Heavy Haul","yes","DE","XL","2007","48 ft","unknown","unknown","unknown","unknown","untethered","","","disconnected","","no","ungrouped","","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"BGME","DE021",".99 miles SE of Sloatsburg, NY","01/07/09 23:12:04  EST","UTT Status Report","01/07/09 23:11:26  EST","high","33","no","41.14361","-74.18055","0120131578","06 am","","never","off","","no","","","","","","unknown","","not installed","not installed","not installed","unknown","HH","Heavy Haul","yes","DE","XL","2007","48 ft","unknown","unknown","unknown","unknown","untethered","","","disconnected","11/26/08 02:47:21  EST","no","ungrouped","","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
